+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+
|                                                                                                                                                                                                                                                                   Prompt                                                                                                                                                                                                                                                                  |       Rating       |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+
|                                                                                                                                                                                                                                     **Generate a catchy landing page headline for a new fitness app.**                                                                                                                                                                                                                                    | 1218.7194944284777 |
|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                    |
|            **Prompt:** You are a copywriter for a tech company and your task is to create an attention-grabbing headline for a landing page promoting an innovative new fitness app called "Smartly". The app aims to revolutionize the way people approach their fitness journey by providing personalized workout plans, tracking progress, and offering interactive challenges. Your headline should be concise, engaging, and highlight the unique selling points of the app. Remember to keep it positive and compelling.            |                    |
|                                                                                                                                         You are an AI copywriter working on generating a landing page headline for various use-cases. Your task is to generate an attention-grabbing headline that will entice visitors to explore further. Here's an example of how you could approach the task:                                                                                                                                         | 1181.2805055715223 |
|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                    |
|                                                                                                                                                                                                                                                                    ---                                                                                                                                                                                                                                                                    |                    |
|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                    |
|                                                                                                                                                                                                                      **Prompt:** You are creating a landing page headline for a new innovative fitness app, Smartly.                                                                                                                                                                                                                      |                    |
|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                    |
|                                                                                                                                                                                                                                                         **What the AI should do:**                                                                                                                                                                                                                                                        |                    |
|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                    |
|                                                                                                    Imagine you are a potential user who is looking for an efficient and convenient way to improve their fitness routine. Craft a compelling headline that highlights the key features and benefits of the Smartly fitness app. Use persuasive language to capture the reader's attention and motivate them to explore the app further.                                                                                                    |                    |
|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                    |
|                                                                                                                                                                                                                                                   **What the AI is allowed to output:**                                                                                                                                                                                                                                                   |                    |
|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                    |
| The AI can generate a headline that is captivating, informative, and concise. It should focus on promoting the unique selling points of the fitness app, such as personalized workout plans, real-time progress tracking, or interactive challenges. The AI can experiment with different writing styles, such as using action-oriented language, emphasizing the convenience factor, or evoking emotions related to health and well-being. The goal is to create a headline that excites and encourages visitors to engage with the app. |                    |
|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                    |
|                                                                                                                                                                                                                                                                    ---                                                                                                                                                                                                                                                                    |                    |
|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                    |
|                                                                                                                                                                                        Remember, your prompt should be general enough to apply to any use-case without being specific about the test cases. Once you're ready, submit your prompt.                                                                                                                                                                                        |                    |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+
